,index,Unnamed: 0,posts,Mach,LSRP12,LSRP2,NRSM,languages
1367,1944,1944,"Here's another team from IUT for the European Rover Challenge 2018
#IUT_Avijatrik ❤️❤️",69.0,3.3,2.4,20.0,en
1368,1945,1945,Best of luck #IUT_Mars_Rover <3,69.0,3.3,2.4,20.0,en
1369,1946,1946,Accounting Exam e ebar amar obostha! 😕 😓,69.0,3.3,2.4,20.0,en
1372,1949,1949,#Shironamhin has made us wild! ❤️,69.0,3.3,2.4,20.0,en
1376,1955,1955,"Doesn't matter what the result is!
This is always ❤️❤️❤️",69.0,3.3,2.4,20.0,en
1378,1958,1958,Just Wow! ❤️,69.0,3.3,2.4,20.0,en
1384,1965,1965,"Hello,
I'm a student of Islamic University of Technology ( IUT, a subsidiary organ of OIC ) located in Bangladesh. The whole country's students want Quota reformation of the government jobs sector of Bangladesh.They are doing movements from yesterday and attacked by police force for nothing. Most of the people are keenly interested to reform quota but the government doesn't want to reform this, already they took control over national media so we need help of foreign media.Please come forward, the situation is beyond control.
We need you. Help us to arise a new morning.
#BBC 
#CNN
#ReformQuotaBD
(Try to repost this using hashtags instead of sharing it
If the hashtag trends, we can gain attention)",69.0,3.3,2.4,20.0,en
1386,1968,1968,"What a match!
What a match!!
What a match!!!
❤❤❤❤❤❤
[ Speechless :') ]",69.0,3.3,2.4,20.0,en
1391,1973,1973,"CSE Escape 2018 ❤
Rangamati Waterfront Resort
Red Heaven ❤❤❤",69.0,3.3,2.4,20.0,en
1392,1977,1977,"#NotOurVc
#SaveIUT",69.0,3.3,2.4,20.0,en
1393,1978,1978,"With dad ❤
Potenga beach ☺",69.0,3.3,2.4,20.0,en
1395,1980,1980,Dad's dream comes true :-) finally I'm in the 'Red Heaven' :-) :-) :-),69.0,3.3,2.4,20.0,en
1410,2003,2003,Wow..! :) sheibar barcellona here gesilo :( bt ekhn to jite jaoa ta habit hoye gise :D ;),69.0,3.3,2.4,20.0,en
1430,2045,2045,Selfies with choto apu... :) :) :),69.0,3.3,2.4,20.0,en
1432,2051,2051,Can't wait to see another #banglaWash :) :v :v,69.0,3.3,2.4,20.0,en
1433,2053,2053,"our #idle Nazmul Haque Akash
with me
:)
captured by:Rs Rahul",69.0,3.3,2.4,20.0,en
1434,2054,2054,A ki #jhor holo!jhorer majhe school theke cycle niye bari aslam :3 poth to sesh e hocchilo na :'( aj sararat ondhokare thaka lagbe cause electric line chire gese :(,69.0,3.3,2.4,20.0,en
1435,2055,2055,Yahooo i'm back...... :D finally our xm has come to end... :),69.0,3.3,2.4,20.0,en
1436,2056,2056,"Friends...due to my coming SSC examination i am taking a temporary leave from facebook...So,bye bye for somedays and don't forget to pray for my good result. :)",69.0,3.3,2.4,20.0,en
1439,2067,2067,Chotto apu with chotto via :-),69.0,3.3,2.4,20.0,en
1440,2069,2069,ore dance korte korte to pa batha hoye gelo!!!,69.0,3.3,2.4,20.0,en
1441,2070,2070,"I am Riyad & i am belong
to #humanity I #hate_israell strongly
#support_palestine #save_GAZA
#say_no_to_israeli_
pruduct #free_palestine&
#stop_genocide",69.0,3.3,2.4,20.0,en
1444,2074,2074,uf...load shedding!!!barca vs athletico match dekhar jonno koto wait kore chilam bt eki holo........ :( :'(,69.0,3.3,2.4,20.0,en
1445,2075,2075,my mejo apu with me!!!,69.0,3.3,2.4,20.0,en
1448,2081,2081,Friend's onnek din por fb te login korlam.Yesterday annual exam finish hoise.Now only time for badminton.,69.0,3.3,2.4,20.0,en
1452,2087,2087,This demands share!,55.0,2.1,3.0,7.0,en
1454,2089,2089,Don't laugh challenge,55.0,2.1,3.0,7.0,en
1455,2090,2090,"Last mid - checked!
Farewell - Loading!
Goru party - Loading!
Last Final - Loading!
Convocation - Loading!",55.0,2.1,3.0,7.0,en
1457,2094,2094,Me too,55.0,2.1,3.0,7.0,en
1459,2100,2100,"these words!
wish i could tell someone face to face!",55.0,2.1,3.0,7.0,en
1460,2101,2101,All in a nutshell!,55.0,2.1,3.0,7.0,en
1461,2103,2103,When vai brothers visit your area!,55.0,2.1,3.0,7.0,en
1463,2109,2109,comment for a perfect caption.... best one will deserve a treat!,55.0,2.1,3.0,7.0,en
1464,2110,2110,That was some childhood with these awesome friends....!!!,55.0,2.1,3.0,7.0,en
1466,2113,2113,brutally true!,55.0,2.1,3.0,7.0,en
1469,2116,2116,kothata mone hoy besi e true!,55.0,2.1,3.0,7.0,en
1473,2120,2120,"True that, their stories are always so real!",55.0,2.1,3.0,7.0,en
1475,2122,2122,"And Talha sir starts teaching the probability course, even before graduation.
WoW.
:O
And mahbub sir sits back.",55.0,2.1,3.0,7.0,en
1477,2124,2124,"and, almost all laboratorians have this common past. :'(
#khalu",55.0,2.1,3.0,7.0,en
1479,2126,2126,"YA ALLAH, please help the muslims all over the world. these cute innocent little babies did nothing to deserve this terrible death. :'(",55.0,2.1,3.0,7.0,en
1480,2127,2127,"purai lipstick lagay dise.. :P
but seriously, bodygurad? -_-",55.0,2.1,3.0,7.0,en
1482,2130,2130,long since had a conversation with the sea!,55.0,2.1,3.0,7.0,en
1483,2131,2131,"really, 
is there any,
🤣🤣🤣🤣",55.0,2.1,3.0,7.0,en
1484,2132,2132,true that,55.0,2.1,3.0,7.0,en
1486,2135,2135,Soo... Classes start tomorrow?,55.0,2.1,3.0,7.0,en
1490,2145,2145,"Birthday treat from international writer ❤️
#samin_anan❤️",50.0,1.9,3.2,7.0,en
1491,2146,2146,"Happy Birthday to two talented guys that i have ever seen <3.
Samin whatever i will say will be less for you <3 the support that u have given me to the whole iut life i will not never forget <3 and i couldn't give u the support as much as u gave me :( .
Nafi the most wanted guy of the department since the first year days :v . Asha kori samner bochor thek valo hoye jabi :v .ar cricket field and iut er room er adda pochani onek memorable days thakbe re egulo :( <3 
Again happy birthday dost <3",50.0,1.9,3.2,7.0,en
1495,2151,2151,#IUT_AVIJATRIK <3,50.0,1.9,3.2,7.0,en
1496,2152,2152,"freedom❤️
P.C. Dr. Shaker Ibna Kamal",50.0,1.9,3.2,7.0,en
1497,2153,2153,"when I was first year.

P.C- Sabbir Ahmed Sristy vai",50.0,1.9,3.2,7.0,en
1499,2155,2155,"last Semester :D 
mid exam :D 
chill hobe 😑",50.0,1.9,3.2,7.0,en
1501,2157,2157,Royal Flush😜,50.0,1.9,3.2,7.0,en
1502,2158,2158,"No other places in Bangladesh can beat this one ❤️
#saint_martins ❤️
P.C.: Shadman Protik",50.0,1.9,3.2,7.0,en
1505,2161,2161,Lights will guide me home ❤️,50.0,1.9,3.2,7.0,en
1507,2163,2163,IUT CSE 14❤️,50.0,1.9,3.2,7.0,en
1510,2166,2166,"Witness of the first wicket fall of IUT CSE 14 ❤️
P.C.: Mehadi Hasan Mukit ❤️",50.0,1.9,3.2,7.0,en
1512,2168,2168,"And if the night is burning
I will cover my eyes
For if the dark returns
Then my brothers will die
And as the sky is falling down
It crashed into this lonely town
And with that shadow upon the ground
I hear my people screaming out
<3",50.0,1.9,3.2,7.0,en
1513,2169,2169,"Clouds the beauty of the sky😍 
Sunny sunday😂",50.0,1.9,3.2,7.0,en
1514,2170,2170,Giroud Shera 😂😂,50.0,1.9,3.2,7.0,en
1515,2171,2171,"the final match of this world is going on ❤ 
In deed this one will be more entertaining than the Final ❤",50.0,1.9,3.2,7.0,en
1517,2173,2173,what a miss by brazil 😂😂,50.0,1.9,3.2,7.0,en
1518,2174,2174,"that is why i love man city ❤ 
Kevin D. Bryune ❤ 
what a goal <3",50.0,1.9,3.2,7.0,en
1519,2175,2175,"Harry Kane Golden Boot Contender 3 goals in penalties , 1 goal by deflection 😛 and 2 with headers 😛 
such a penalty machine 😛",50.0,1.9,3.2,7.0,en
1520,2176,2176,"Thanks don for that goal at 2010 when u scored i jumped from my chair and shouted , i can still remember that moment i didn’t forget ❤️
Farewell to the most descent player that i have ever seen ❤️",50.0,1.9,3.2,7.0,en
1521,2177,2177,"the best penalty shootout i have seen at euro 2016 Italy vs Germany 
And now at this world cup Croatia Vs Denmark ❤ 
This is the best world cup that i have ever seen ❤",50.0,1.9,3.2,7.0,en
1523,2179,2179,Goodbye spain 😞,50.0,1.9,3.2,7.0,en
1524,2180,2180,"Spain is not playing football 😕 
They are playing........ which words should i use to describe 😕 ? 
Might be the last match of this world cup 😕 
Even if they escape from this one then the next would be the last 😀 
#852passes 😞",50.0,1.9,3.2,7.0,en
1526,2182,2182,"hard luck for messi
shame for otamendi 
#well_deserving_france :D",50.0,1.9,3.2,7.0,en
1527,2183,2183,"one of the best shots on this world cup❤️ 
#diMaria",50.0,1.9,3.2,7.0,en
1529,2185,2185,"if any team scores tonight they won’t celebrate 🤪 
after scoring , scorer will feel what i have done 😁😁",50.0,1.9,3.2,7.0,en
1530,2186,2186,Let us see who becomes the group runners up tonight ? 🤪🤪,50.0,1.9,3.2,7.0,en
1534,2190,2190,now i can understand why Germany has been knocked out😂😂,50.0,1.9,3.2,7.0,en
1535,2191,2191,"what will happen to brazil? 😂😂
to know keep your eyes on the russia comedy circus 2018 😂😂",50.0,1.9,3.2,7.0,en
1537,2193,2193,Surely Russia World Cup has been scripted😂😂,50.0,1.9,3.2,7.0,en
1538,2194,2194,"3 subs done but there is no Dybala 🤪
Great team plan argentina 🤪
Will see you at 2022 if you qualify 🤪",50.0,1.9,3.2,7.0,en
1539,2195,2195,last match for messi in this world cup or any world cup? 😞,50.0,1.9,3.2,7.0,en
1540,2196,2196,"Congratulations Yemin Sajid ❤️
First wicket of IUT CSE 14 ❤️ 
Allowance ebar double hobe 🤪
Pera besi hole IUT eshe poris 😍😍
#bondhuAmarEkhonBibahito😂😂",50.0,1.9,3.2,7.0,en
1541,2197,2197,"At 89 minute portugal is going to win and going to be group champion 
after the match spain has become group champion 😂😂 
what is going in this world cup 😂 
unpredictable world cup this is!!! 😂",50.0,1.9,3.2,7.0,en
1542,2198,2198,Tony kroos what you have shown😍😍,50.0,1.9,3.2,7.0,en
1543,2199,2199,"Happy birthday leo❤️
You are one of the reasons for which i love football❤️ 
since the day i saw your skills i have become your fan❤️ 
With you till the end ❤️",50.0,1.9,3.2,7.0,en
1545,2201,2201,"Lionel Messi day after tomorrow is your birthday <3
i wish you give yourself a winning match as birthday gift tonight <3",50.0,1.9,3.2,7.0,en
1547,2203,2203,"Mo. Salah <3 
The one man army <3",50.0,1.9,3.2,7.0,en
1548,2204,2204,"death group shudhu valo team diyei hoy na 😂😂 
england er moto erokom baal chaal team diyeo death group banano jay😂😂 
another draw is coming hoepfully🤪🤪",50.0,1.9,3.2,7.0,en
1549,2205,2205,one of the beautiful places that i have ever visited <3,50.0,1.9,3.2,7.0,en
1550,2206,2206,"there is no big team in this world cup <3 
what a performance by switzerland <3 
great comeback by them <3 
 mone hocche eta argentinar supporter der duar ek ongsho :p  ;)",50.0,1.9,3.2,7.0,en
1552,2208,2208,"hats off to Mexico :D 
the predictions in this world cup are not working :D
anything can happen ;) 
the underdog teams are no more underdog teams <3 
it is great to see this world cup <3",50.0,1.9,3.2,7.0,en
1555,2211,2211,"Eid Mubarak everyone <3 
mone hocche tie hobe :/ 
Vamos espana 🇪🇸",50.0,1.9,3.2,7.0,en
1557,2213,2213,"ow zlatan :p 
the world cup will miss you :p",50.0,1.9,3.2,7.0,en
1558,2214,2214,protiti vorer shakkhi hote chai tomar sathe <3,50.0,1.9,3.2,7.0,en
1559,2215,2215,great place it was <3,50.0,1.9,3.2,7.0,en
1564,2220,2220,"happy birthday bro <3 
erokom e chill thakis <3 
ar to matro koyekta din tarpor to cholei jaboni :p",50.0,1.9,3.2,7.0,en
1568,2224,2224,"5 months remaining to enjoy this view😍
#FinalYear😍
#IUT
#southHall",50.0,1.9,3.2,7.0,en
1572,2228,2228,"Happy Birthday Dost 😍
4 ta bochor dhore to pass korte parli na prottek semester ei fail koros🤪🤪
#chapa",50.0,1.9,3.2,7.0,en
1574,2230,2230,"Happy mother’s day maa😍😍
i know how much u love me😍😍
and the happiness i found in ur voice when i wished i could imagine😍 
and ur reply “thank u baba”😍 always makes me happy maa😍
your love affection always show me the path that i am on now. 
Thank you maa for all the affection and all the love♥️",50.0,1.9,3.2,7.0,en
1576,2232,2232,"Happy birthday Naeer Amin Naeer Amin 😍😍
Eto chill kivabe koris tui🤪
Ektu chill kora koma🤪",50.0,1.9,3.2,7.0,en
1577,2233,2233,"Radit dekh to kichu mone ashe naki? 🤪
Next week er jnne ready thakis 🤓",50.0,1.9,3.2,7.0,en
1578,2234,2234,"#weather 
#cseVSmce",50.0,1.9,3.2,7.0,en
1580,2236,2236,"for the time being i am giving you minus ten if you submit it in the next lab then i will give zero 😎 
cse 14 anyone remember?😂😂",50.0,1.9,3.2,7.0,en
1583,2239,2239,happy birthday #cr27,50.0,1.9,3.2,7.0,en
1585,2241,2241,"congratulations champs❤️
defending champion❤️",50.0,1.9,3.2,7.0,en
1586,2242,2242,"it's true, look how they shine for you!!!",50.0,1.9,3.2,7.0,en
1587,2243,2243,what if adele couldn’t start rolling in the deep 😎😎,50.0,1.9,3.2,7.0,en
1589,2245,2245,"Happy birthday boss❤️❤️
Mone ache din ta?😎😎",50.0,1.9,3.2,7.0,en
1590,2246,2246,"what kind of developments are Bangladesh doing? 
if we don’t find any developments then how we have become a developing country?
eshob show off ar valo lagena 
bahirer desher manush eshob niye definitely hashe 
56% quota goverment job e 
ar tar upor private varsity te naki abar tax lagaitese 
Abul tumi maal 
Kemne paro?",50.0,1.9,3.2,7.0,en
1591,2248,2248,"First jedin tor sathe kotha hocchilo oidin e bujhte parsilam tui onek joss ❤️❤️
Eto valobasha koi rakhbo ❤️❤️
Onek onek thanks toke ❤️❤️❤️",50.0,1.9,3.2,7.0,en
1592,2249,2249,"My team ❤️
This team will always be in my heart whatever happens ❤️",50.0,1.9,3.2,7.0,en
1594,2251,2251,"the end is near 
who knows what gonna happen tomorrow 
#cse
#cse_cricket_for_the_last_time ❤️

P.C. :Akhlaq Rifat Rahman",50.0,1.9,3.2,7.0,en
1595,2252,2252,North from south ❤️,50.0,1.9,3.2,7.0,en
1598,2255,2255,chris martin <3,50.0,1.9,3.2,7.0,en
1599,2256,2256,"worth of watching ❤️
time travelling er tv series hisebe osthir lagse❤️",50.0,1.9,3.2,7.0,en
1600,2257,2257,Throwback to our last Cox's Bazar tour. An unplanned tour with the most amazing people. We decided to go less than 24 hours ago.,50.0,1.9,3.2,7.0,en
1602,2259,2259,why i can’t stop dreaming about waffles? ❤️❤️,50.0,1.9,3.2,7.0,en
1605,2262,2262,"i love this one a lot :* 
it reminds me how much i love my freedom <3 
p.c.: seym :*  (i guess)",50.0,1.9,3.2,7.0,en
1606,2263,2263,"Lights will guide you home 
And ignite your bones 
And i will try to fix you
https://www.youtube.com/watch?v=ThdNOFVH-1s",50.0,1.9,3.2,7.0,en
1607,2264,2264,"last departmental picnic
thanks to Samiul vai, Zarab and Mohsinul <3 
specially Samiul vai apne ekta valobasha <3 
#first_time 
#last_time",50.0,1.9,3.2,7.0,en
1608,2265,2265,"For the last time 
#cse
#escape18
p.c.: Mahfuz Ahmed <3",50.0,1.9,3.2,7.0,en
1609,2266,2266,"Waiting is over 😜😜😎😎
Happy Birthday leda ❤️
Goto bochor dhore dekha holei vai ajke khawan , ajke treat den.
Jokhn jiggesh kori kiser treat ?
Reply diti vai ami apnar junior na apne khawaben e to 😑
Erokom reply er ar ki counter reply dibo😑😑
Junior hoye senior der kache je poriman khosaiso, asha kori senior hoye er theke aro onek besi nijer pocket khosaba ❤️
#leda
#chesra",50.0,1.9,3.2,7.0,en
1610,2267,2267,"Talha Ibn Aziz this video is specially for you <3 
this tour was totally uncertain :D 
none of us were prepared for this tour :/
you came you cry, then we couldn't say no :D 
this tour was only for you <3 
love you talha boss <3 
#TalhaMemorialTour",50.0,1.9,3.2,7.0,en
1611,2268,2268,"Talha boss became first and Rahat Anwar Khan bro congratulations for being third 😜😜
Those who can’t find rahat don’t look for him 😜😜",50.0,1.9,3.2,7.0,en
1613,2270,2270,Our ex classmate came to our room to serve his special tea ❤️,50.0,1.9,3.2,7.0,en
1615,2272,2272,"No other places in Bangladesh can beat this one ❤️
#saint_martins ❤️
P.C.: Shadman Protik",50.0,1.9,3.2,7.0,en
1617,2274,2274,"I think this is better than the picture i have taken 😜
Imamul Ahsan Radit thanks dost ❤️",50.0,1.9,3.2,7.0,en
1618,2275,2275,"Farewell to the sea birds ❤️
InshaAllah one day again ❤️",50.0,1.9,3.2,7.0,en
1620,2278,2278,Life is beautiful ❤️,50.0,1.9,3.2,7.0,en
1622,2280,2280,My room mate > your room mate ❤️,50.0,1.9,3.2,7.0,en
1623,2281,2281,"Last match as a partner at IUT ❤️
It was a good partnership for the last 3 years ❤️
P.C.: Shaker ❤️",50.0,1.9,3.2,7.0,en
1626,2284,2284,Foreign students over here are amazing.I was sitting in front of the IUT gate and we had conversation over many things.He told me that he wants to learn bengali poem and songs so that he can learn Bangla ❤️.Then he told me that one of his friends taught him a bangla song and he wanted to sing the song.I told him take the mike and go on.And believe me he is awesome ❤️.,50.0,1.9,3.2,7.0,en
1627,2285,2285,"I know you wanted to be uploaded this pic on your birthday 😜😜 
That is why you sent this pic to me in the last week😜😜 
But i am posting it 3 hours ago before your birthday ❤️ 
So advance happy birthday to you❤️",50.0,1.9,3.2,7.0,en
1628,2286,2286,"alam vai brothers der valobasha ta dekhe naw ekbar <3 
first year prothom birthday toder ar last year e last bar er moto korei fellam toder birthday IUT te
happy birthday dst <3 

for better quality please go to the link:
https://www.youtube.com/watch?v=lwao27ZCSqY",50.0,1.9,3.2,7.0,en
1629,2287,2287,"protik dost take love from us <3 
onek surprise ache video te ;) 
tor ar mahfuz er birthday ta amader IUT er first year er first birthday celebration chilo tai toder birthday ta ektu special korar try korsi <3 
happy birthday dost!!! <3

for better quality go to the link:
https://www.youtube.com/watch?v=UJiM4vheByM",50.0,1.9,3.2,7.0,en
1630,2288,2288,"I am an IUTian 
I am a representative of batch 14 
I don’t support injustice , corruption 
Time to stand against it 
No Munaz Ahmed Noor 
#resignation",50.0,1.9,3.2,7.0,en
1631,2289,2289,"After 10 months ,that smiling face ❤️",50.0,1.9,3.2,7.0,en
1632,2290,2290,Vai 3 years of friendship to hoyei gelo cholen kichu khana pina hoye jak 😑😑,50.0,1.9,3.2,7.0,en
1633,2291,2291,Made my morning 😜😜,50.0,1.9,3.2,7.0,en
1634,2292,2292,Final year with this cat also❤️,50.0,1.9,3.2,7.0,en
1639,2297,2297,"For those who have been asking what resources did I use for the writing module I'm providing the materials for you all here.

1) Vocabulary:  
    https://www.ielts-mentor.com/ielts-vocabulary
    http://ieltsliz.com/vocabulary/
    https://www.ieltsadvantage.com/vocabulary/
    https://www.thesaurus.com/
2) Sentence structure and grammar:                 
    https://www.youtube.com/user/EnglishTeacherEmma/videos
    https://www.youtube.com/user/JamesESL
    Barron's writing for the IELTS (only grammar portion) 
3) Sample essay and essay structures: 
    https://www.ielts-mentor.com/writing-sample/writing-task-2 
    http://ielts-simon.com/ielts-help-and-english-pr/ielts-writing-task-2/
  https://www.youtube.com/channel/UCglDIsg_Z9mE2oT9hsrbzFA
http://www.ielts-practice.org/band-9-essays/ 
Most importantly Cambridge consult books and Dr smart IELTS. 

Task 1: 
http://ielts-up.com/writing/ielts-academic-task-1.html
          https://www.youtube.com/channel/UCRSFsZwTpcm2IZKcWTOyyZg

The books mentioned above are on my google drive link: https://drive.google.com/drive/folders/1LeecPB9C217f0ibxrRAvUzqU9JuX7Oh3

Notes: # I took help from many of my seniors,juniors and friends who previously scored well and I was under direct supervision of one of my senior brothers from cadet college, took feedback from them and tried to improve my weak points.
           # In case of vocabularies focus more on topic related words than so called unique or uncommon or tougher words and be sure of the collocations. Check the spelling mistakes. Be careful in using linking words, use them but not in excess and unnecessarily. 
          # Use relevant examples!!! 
          # Use more complex sentences with some simple and compound sentences and make sure your grammar is alright. 
          # Read samples! read samples!! Read samples!!! and practice! 
         # Plan the essay beforehand, take minimum 5-7 minutes to plan and organize your thoughts, note them down! It will save your time! 
         # Revise the whole essay for at least once! 

N.B: These are no professional advice, rather sharing my experience (which you might ignore).",35.0,4.1,3.7,34.0,en
